epoch,first_death_time,final_live_percentage,simulation_duration,total_transmissions,energy_efficiency,method
184,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
185,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
186,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
187,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
188,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
189,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
190,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
191,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
192,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
193,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
194,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
195,1525,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
196,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
197,1517,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
198,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
199,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
200,1454,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
201,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
202,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
203,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
204,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
205,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
206,1518,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
207,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
208,1470,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
209,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
210,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
211,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
212,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
213,1510,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
214,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
215,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
216,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
217,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
218,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
219,1424,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
220,1518,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
221,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
222,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
223,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
224,1514,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
225,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
226,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
227,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
228,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
229,1512,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
230,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
231,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
232,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
233,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
234,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
235,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
236,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
237,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
238,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
239,1459,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
240,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
241,1441,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
242,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
243,1452,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
244,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
245,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
246,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
247,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
248,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
249,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
250,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
251,1464,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
252,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
253,1466,20.0,3000,0,1.0,DQL_Enhanced_RLBEEP
254,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
255,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
256,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
257,1462,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
258,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
259,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
260,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
261,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
262,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
263,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
264,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
265,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
266,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
267,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
268,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
269,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
270,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
271,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
272,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
273,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
274,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
275,1505,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
276,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
277,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
278,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
279,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
280,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
281,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
282,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
283,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
284,1503,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
285,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
286,1518,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
287,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
288,1525,20.0,3000,0,1.0,DQL_Enhanced_RLBEEP
289,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
290,1445,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
291,1508,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
292,1456,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
293,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
294,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
295,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
296,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
297,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
298,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
299,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
300,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
