time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type
26,10,100.0,0,98.160028285,1,CLUSTER_HEAD,97.74360697939667,1,REGULAR,97.87440427239994,1,CLUSTER_HEAD,97.41786696382,1,REGULAR,97.56169498939998,1,REGULAR,97.39891998499999,1,REGULAR,98.19473527939665,1,CLUSTER_HEAD,97.79325597240002,1,REGULAR,97.90903526382,1,CLUSTER_HEAD,97.7566949894,1,REGULAR
27,10,100.0,0,98.10552138445999,1,CLUSTER_HEAD,97.68859997876667,1,REGULAR,97.81489537167994,1,CLUSTER_HEAD,97.35785796301,1,REGULAR,97.49918998894998,1,REGULAR,97.33391398446,1,REGULAR,98.14272737876665,1,CLUSTER_HEAD,97.74074797168002,1,REGULAR,97.85202536301,1,CLUSTER_HEAD,97.69918998895,1,REGULAR
28,10,100.0,0,98.05101445056665,1,CLUSTER_HEAD,97.63359297811334,1,REGULAR,97.75538643759994,1,CLUSTER_HEAD,97.29784896217001,1,REGULAR,97.43668498848331,1,REGULAR,97.2689079839,1,REGULAR,98.09071944477998,1,CLUSTER_HEAD,97.68823997093335,1,REGULAR,97.79501542883666,1,CLUSTER_HEAD,97.64168498848333,1,REGULAR
29,10,100.0,0,97.99650748331999,1,CLUSTER_HEAD,97.57858597743667,1,REGULAR,97.69587747015993,1,CLUSTER_HEAD,97.23783996130001,1,REGULAR,97.37417998799998,1,REGULAR,97.20390198332,1,REGULAR,98.03871147743664,1,CLUSTER_HEAD,97.63573197016002,1,REGULAR,97.73800546129999,1,CLUSTER_HEAD,97.584179988,1,REGULAR
30,10,100.0,0,97.94200048271998,1,CLUSTER_HEAD,97.52357897673667,1,REGULAR,97.63636846935992,1,CLUSTER_HEAD,97.17783096040002,1,REGULAR,97.31167498749998,1,REGULAR,97.13889598272,1,REGULAR,97.98670347673662,1,CLUSTER_HEAD,97.58322396936002,1,REGULAR,97.68099546039998,1,CLUSTER_HEAD,97.5266749875,1,REGULAR
31,10,100.0,0,97.88749344876665,1,CLUSTER_HEAD,97.46857197601334,1,REGULAR,97.57685943519992,1,CLUSTER_HEAD,97.11782195947002,1,REGULAR,97.24916998698332,1,REGULAR,97.0738899821,1,REGULAR,97.93469544267995,1,CLUSTER_HEAD,97.53071596853336,1,REGULAR,97.62398542613666,1,CLUSTER_HEAD,97.46916998698333,1,REGULAR
32,10,100.0,0,97.83298638145999,1,CLUSTER_HEAD,97.41356497526667,1,REGULAR,97.51735036767992,1,CLUSTER_HEAD,97.05781295851003,1,REGULAR,97.18666498644998,1,REGULAR,97.00888398146,1,REGULAR,97.88268737526663,1,CLUSTER_HEAD,97.47820796768002,1,REGULAR,97.56697535850999,1,CLUSTER_HEAD,97.41166498644999,1,REGULAR
33,10,100.0,0,97.77847928079998,1,CLUSTER_HEAD,97.35855797449666,1,REGULAR,97.45784126679992,1,CLUSTER_HEAD,96.99780395752003,1,REGULAR,97.12415998589998,1,REGULAR,96.9438779808,1,REGULAR,97.83067927449663,1,CLUSTER_HEAD,97.42569996680002,1,REGULAR,97.50996525752,1,CLUSTER_HEAD,97.3541599859,1,REGULAR
34,10,100.0,0,97.72397214678665,1,CLUSTER_HEAD,97.30355097370332,1,REGULAR,97.39833213255991,1,CLUSTER_HEAD,96.93779495650003,1,REGULAR,97.0616549853333,1,REGULAR,96.87887198012,1,REGULAR,97.77867114036997,1,CLUSTER_HEAD,97.37319196589335,1,REGULAR,97.45295512316666,1,CLUSTER_HEAD,97.29665498533333,1,REGULAR
35,10,100.0,0,97.66946497941997,1,CLUSTER_HEAD,97.24854397288665,1,REGULAR,97.3388229649599,1,CLUSTER_HEAD,96.87778595545002,1,REGULAR,96.99914998474998,1,REGULAR,96.81386597942,1,REGULAR,97.72666297288663,1,CLUSTER_HEAD,97.32068396496003,1,REGULAR,97.39594495544999,1,CLUSTER_HEAD,97.23914998475,1,REGULAR
36,10,100.0,0,97.61495777869997,1,CLUSTER_HEAD,97.19353697204664,1,REGULAR,97.27931376399991,1,CLUSTER_HEAD,96.81777695437002,1,REGULAR,96.93664498414998,1,REGULAR,96.7488599787,1,REGULAR,97.67465477204664,1,CLUSTER_HEAD,97.26817596400002,1,REGULAR,97.33893475437,1,CLUSTER_HEAD,97.18164498415,1,REGULAR
37,10,100.0,0,97.56045054462665,1,CLUSTER_HEAD,97.13852997118332,1,REGULAR,97.2198045296799,1,CLUSTER_HEAD,96.75776795326001,1,REGULAR,96.87413998353331,1,REGULAR,96.68385397796,1,REGULAR,97.62264653784997,1,CLUSTER_HEAD,97.21566796301336,1,REGULAR,97.28192451992668,1,CLUSTER_HEAD,97.12413998353333,1,REGULAR
